url	download_complete
www.ics.uci.edu/ugrad	complete
www.ics.uci.edu/about/equity	complete
www.ics.uci.edu/computing/students/index.php	incomplete
www.ics.uci.edu/involved/leadership_council	complete
netreg.ics.uci.edu	complete
www.ics.uci.edu/computing/services/msoffice.php	complete
www.ics.uci.edu/grad/courses/index.php	complete
www.ics.uci.edu/ugrad/admissions/admissions_why.php	complete
www.ics.uci.edu/grad/index	complete
mswe.ics.uci.edu/program/about-the-program	complete
mhcid.ics.uci.edu/admissions/online-information-sessions	complete
www.ics.uci.edu/community/news/view_news?id=1416	complete
www.ics.uci.edu/employment/employ_distinguished.php	complete
www.ics.uci.edu/computing/contact/staff.php	complete
www.ics.uci.edu/computing/linux/modules.php	complete
www.ics.uci.edu/computing/web/faqs.php	complete
www.ics.uci.edu/computing/contact/who.php	complete
www.ics.uci.edu/community/news/view_news?id=1434	complete
www.ics.uci.edu/%7Elab/policies	complete
www.ics.uci.edu/about/brenhall/index.php	complete
www.ics.uci.edu/%7elab	complete
www.ics.uci.edu/community/icsjobs/icsjobs_list.php	complete
www.ics.uci.edu/grad/admissions/index.php	complete
www.ics.uci.edu/ugrad/courses/index-course	complete
www.ics.uci.edu/grad/degrees/index	complete
www.ics.uci.edu/computing/network	complete
www.ics.uci.edu/grad/qa/index.php	complete
www.ics.uci.edu/ugrad/policies/Add_Drop_ChangeOption	complete
www.ics.uci.edu	complete
www.ics.uci.edu/computing/linux/shell.php	complete
www.ics.uci.edu/computing/linux/gsu.php	complete
www.ics.uci.edu/news	complete
www.ics.uci.edu/statistics	complete
www.ics.uci.edu/computing/linux/sge.php	complete
www.ics.uci.edu/grad/admissions/Prospective_ApplicationProcess.php	complete
swiki.ics.uci.edu/doku.php/announce:announce	complete
www.ics.uci.edu/employment/employ_faculty.php	complete
www.ics.uci.edu/about/videos/index.php	complete
www.ics.uci.edu/ugrad/policies/Laptop_ComputerUse	complete
www.ics.uci.edu/employment	complete
www.ics.uci.edu/about/about_facts.php	complete
www.ics.uci.edu/computing/policy	complete
www.ics.uci.edu/involved	complete
www.ics.uci.edu/ugrad/sao/Course_updates	complete
mhcid.ics.uci.edu/program/events	complete
www.ics.uci.edu/computing/services/microsoft_imagine.php	complete
www.ics.uci.edu/grad/policies/index	complete
calendar.ics.uci.edu/calendar.php	complete
www.ics.uci.edu/ugrad/sao/index	complete
www.ics.uci.edu/community/news/view_news?id=1322	complete
ugradforms.ics.uci.edu	complete
www.ics.uci.edu/about/about_safety.php	complete
www.ics.uci.edu/index.php?r=site/myAccount	complete
mhcid.ics.uci.edu/people/mentors	complete
www.ics.uci.edu/computing/net	complete
www.ics.uci.edu/computing/account/faqs.php	complete
www.ics.uci.edu/computing/students	complete
mhcid.ics.uci.edu/people/mhcid-current-students	complete
www.ics.uci.edu/grad/degrees/index.php	complete
www.ics.uci.edu/computing/account/mapdrive_win.php	complete
www.ics.uci.edu/employment/employ_research.php	complete
www.ics.uci.edu/grad/financial/index.php	complete
www.ics.uci.edu/computing/email/thunderbird_Gmail.php	complete
www.ics.uci.edu/ugrad/degrees/Minors	complete
mswe.ics.uci.edu/admissions/cost-and-financial-aid	complete
www.ics.uci.edu/ugrad/qa/index.php	complete
www.ics.uci.edu/computing/faculty	complete
www.ics.uci.edu/ugrad/policies/Academic_Standing	complete
www.ics.uci.edu/computing/account/activate.php	complete
www.ics.uci.edu/computing/email/thunderbird_setup.php	complete
mswe.ics.uci.edu/admissions/information_sessions	incomplete
www.ics.uci.edu/community/icsjobs/index.php	complete
www.ics.uci.edu/faculty	incomplete
www.ics.uci.edu/computing/services/sophos_win.php	complete
www.ics.uci.edu/intranet	complete
www.ics.uci.edu/grad/funding/index	complete
mhcid.ics.uci.edu/program/about-the-program	complete
mhcid.ics.uci.edu/people/current-students	complete
mhcid.ics.uci.edu/program/events/career-conference	complete
www.ics.uci.edu/computing/services/restore.php	complete
www.ics.uci.edu/computing/services/sophos_mac.php	complete
www.ics.uci.edu/computing/services/snapshot.php	complete
www.ics.uci.edu/computing/linux/hosts.php	complete
www.ics.uci.edu/about/visit/index.php	complete
www.ics.uci.edu/computing/policy/ethics.php	complete
www.ics.uci.edu/ugrad/admissions/transfer/index.php	complete
mhcid.ics.uci.edu/admissions/costs-and-financial-aid	complete
www.ics.uci.edu/ugrad/sao/index.php	complete
www.ics.uci.edu/computing/account/password.php	complete
www.ics.uci.edu/community/friends	complete
www.ics.uci.edu/ugrad/policies/Grade_Options	complete
www.ics.uci.edu/community/news/student_blogs	complete
mhcid.ics.uci.edu/people/mhcid-faculty-and-staff	complete
www.ics.uci.edu/about/search/search_graduate_all.php	complete
www.ics.uci.edu/ugrad/financial/index.php	complete
www.ics.uci.edu/grad	incomplete
www.ics.uci.edu/about/facilities/index.php	complete
mswe.ics.uci.edu/people/faculty-staff	incomplete
www.ics.uci.edu/about	complete
www.ics.uci.edu/computing/email/delivery_point.php	incomplete
mhcid.ics.uci.edu/admissions/information-session-2	complete
www.ics.uci.edu/grad/admissions/index	complete
www.ucf.ics.uci.edu	complete
www.ics.uci.edu/community/news/view_news?id=1455	complete
www.ics.uci.edu/ugrad/policies/Withdrawal_Readmission	complete
www.ics.uci.edu/grad/forms/index	complete
www.ics.uci.edu/involved/corporate_partner	complete
www.ics.uci.edu/computing/contact	complete
mse.ics.uci.edu	complete
www.ics.uci.edu/ugrad/degrees/index.php	complete
www.ics.uci.edu/ugrad/courses/index.php	incomplete
support.ics.uci.edu/passwd	complete
www.ics.uci.edu/community/news/press	complete
www.ics.uci.edu/ugrad/courses/index	complete
www.ics.uci.edu/faculty/highlights	complete
elnino.ics.uci.edu	complete
mcs.ics.uci.edu/prospective-students/application-process	incomplete
www.ics.uci.edu/%7ewics	incomplete
www.ics.uci.edu/computing/unix	incomplete
www.ics.uci.edu/employment/employ_lecturer.php	complete
www.ics.uci.edu/localist	incomplete
www.ics.uci.edu/computing/windows	incomplete
www.ics.uci.edu/grad/courses/index	incomplete
www.ics.uci.edu/ugrad/courses/listing.php?year=2016&level=Graduate&department=STATS&program=ALL	incomplete
www.ics.uci.edu/computing	incomplete
www.ics.uci.edu/index.php?r=request/index&username=Guest	incomplete
www.ics.uci.edu/dept	complete
www.ics.uci.edu/ugrad/policies	incomplete
mhcid.ics.uci.edu/admissions/admissions-overview/applicant-portfolio	incomplete
www.ics.uci.edu/ugrad/resources/index	incomplete
www.ics.uci.edu/grad/policies/index.php	complete
www.ics.uci.edu/events/computer-science-seminar-series	complete
www.ics.uci.edu/about/kfflab/index.php	complete
www.ics.uci.edu/computing/account/quota.php	complete
www.ics.uci.edu/events/distinguished-lecture-series	incomplete
www.ics.uci.edu/community	incomplete
mhcid.ics.uci.edu/faq	incomplete
www.ics.uci.edu/community/events/competition	incomplete
mswe.ics.uci.edu/faq	incomplete
www.ics.uci.edu/computing/account/mapdrive_mac.php	complete
www.ics.uci.edu/informatics	incomplete
www.ics.uci.edu/about/search/index.php	incomplete
www.ics.uci.edu/computerscience	complete
www.ics.uci.edu/computing/email/group_email.php	incomplete
www.ics.uci.edu/computing/email	incomplete
www.ics.uci.edu/%7elab/lab_schedule	incomplete
www.ics.uci.edu/about/about_factsfigures.php	incomplete
www.ics.uci.edu/ugrad/courses/listing.php?year=2016&level=Lower-Division&department=STATS&program=ALL	complete
www.ics.uci.edu/ugrad/distribution/index.php	complete
mhcid.ics.uci.edu/program/capstone-projects	complete
www.ics.uci.edu/involved/project_class	incomplete
www.ics.uci.edu/community/news/view_news?id=1474	complete
www.ics.uci.edu/computing/web/personalpage.php	complete
www.ics.uci.edu/ugrad/admissions/index.php	complete
www.ics.uci.edu/~lab	complete
www.ics.uci.edu/computing/account/new	complete
www.ics.uci.edu/ugrad/QA_Graduation	incomplete
www.ics.uci.edu/computing/policy/ethics_summary.php	complete
www.ics.uci.edu/about/annualreport	complete
www.ics.uci.edu/grad/courses/index-course	complete
www.ics.uci.edu/ugrad/sao/SAO_Events.php	complete
www.ics.uci.edu/grad/degrees/degree_cs.php	complete
www.ics.uci.edu/ugrad/policies/Academic_Integrity	complete
www.ics.uci.edu/grad/resources	incomplete
www.ics.uci.edu/laptops/index.php?r=site/login	incomplete
www.ics.uci.edu/laptops/index.php?r=site/index	incomplete
support.ics.uci.edu/laptops	complete
mhcid.ics.uci.edu/admissions/admissions-overview	complete
www.ics.uci.edu/about/visit/index	incomplete
www.ics.uci.edu/ugrad/honors/index.php	complete
www.ics.uci.edu/computing/mac	complete
www.ics.uci.edu/ugrad/policies/index.php	incomplete
www.ics.uci.edu/ugrad/life/index.php	complete
www.ics.uci.edu/ugrad/policies/Course_Outside_UCI	incomplete
www.ics.uci.edu/index.php?r=site/login	incomplete
webmail.ics.uci.edu	incomplete
mhcid.ics.uci.edu/program/curriculum	incomplete
www.ics.uci.edu/faculty/area	complete
www.ics.uci.edu/ugrad/QA_Petitions	incomplete
mswe.ics.uci.edu/program/curriculum	incomplete
www.ics.uci.edu/computing/email/google_apps.php	incomplete
www.ics.uci.edu/community/news/view_news?id=1465	incomplete
intranet.ics.uci.edu	incomplete
www.ics.uci.edu/computing/services/printing.php	complete
www.ics.uci.edu/index.php?r=site/maillistExpander	incomplete
www.ics.uci.edu/index.php?r=site/index	incomplete
www.ics.uci.edu/about/about_deanmsg.php	incomplete
www.ics.uci.edu/computing/contact/helpdesk.php	incomplete
www.ics.uci.edu/computing/account/renewal.php	incomplete
www.ics.uci.edu/event/2017-computer-science-research-showcase	incomplete
www.ics.uci.edu/community/alumni	incomplete
www.ics.uci.edu/about/about_contact.php	incomplete
www.ics.uci.edu/grad/sao/index.php	incomplete
www.ics.uci.edu/computing/email/mailboss.php	complete
www.ics.uci.edu/faculty/area/index.php	complete
www.ics.uci.edu/computing/account/new.php	complete
www.ics.uci.edu/ugrad/index	incomplete
www.ics.uci.edu/computing/linux/security.php	complete
www.ics.uci.edu/ugrad/policies/CS199_IN4MATX199	incomplete
www.ics.uci.edu/community/news/view_news?id=1404	complete
www.ics.uci.edu/faculty/centers	incomplete
mhcid.ics.uci.edu/people/industry-advisory-board	incomplete
www.ics.uci.edu/community/scholarships/index	incomplete
www.ics.uci.edu/community/news	incomplete
www.ics.uci.edu/computing/account	incomplete
www.ics.uci.edu/about/bren	incomplete
mswe.ics.uci.edu/admissions/admissions-overview	incomplete
